,baseline,λ=10,nunique,real_std,baseline_ratio,λ=10_ratio
sex,0.010436570428696426,0.1441609798775153,2,0.4699773898810972,1.0,13.81306060860087
income,0.01343657042869643,0.1110236220472441,2,0.4285055723969557,1.0,8.262794634718052
race,0.15600437445319337,0.913326334208224,5,0.8421896019751072,1.0,5.854491820562718
relationship,0.10610148731408563,0.465357830271216,6,1.6012607939187118,1.0,4.385968962844472
marital-status,0.12738495188101484,0.2272029746281714,7,1.5059298752880448,1.0,1.7835935192752796
workclass,0.13058355205599304,0.5557279090113737,9,1.3718445208931258,1.0,4.255726699585279
occupation,0.49434470691163596,0.7046605424321958,15,4.168385632249013,1.0,1.4254436885437387
education,1.124944006999125,0.36689851268591434,16,3.85633732467107,1.0,0.3261482441820766
education-num,0.45068416447944,0.3556745406824147,16,2.5682927629733276,1.0,0.7891880139459403
native-country,1.4469886264216971,9.084976377952756,42,7.31139608951381,1.0,6.2785402815634255
age,1.5827191601049868,3.3386062992125987,74,13.558818385917503,1.0,2.1094116905687414
hours-per-week,3.1416631671041118,2.011692913385827,96,12.260216104482167,1.0,0.6403273700535324
capital-loss,62.839812773403274,71.71260979877506,98,404.0063697785335,1.0,1.1411970633548285
capital-gain,414.55658005249353,1266.1978083989504,122,7487.149723233319,1.0,3.0543425658292946
fnlwgt,65809.59432283464,38617.139440069994,27946,105568.3566618415,1.0,0.5868010559468013
