,baseline,λ=2,λ=5,λ=10,nunique,real_std,baseline_ratio,λ=2_ratio,λ=5_ratio,λ=10_ratio
chlorpropamide,0.00036642426292354813,0.0004178927786234003,0.0009718135182366453,0.00130024240374312,2,0.0188422276023023,1.0,1.1404615384614711,2.6521538461534884,3.5484615384609683
change,0.012411691752635456,0.0382279158915384,0.09189458255820504,0.2632647274367213,2,0.49986596937300953,1.0,3.079992369567284,7.403872444599863,21.211026883649488
metformin-pioglitazone,2.8186481763355548e-05,2.8186481763355548e-05,2.8186481763355548e-05,2.8186481763355548e-05,2,0.00411240672273191,1.0,1.0,1.0,1.0
glimepiride-pioglitazone,2.8186481763355548e-05,2.8186481763355548e-05,2.8186481763355548e-05,2.8186481763355548e-05,2,0.00411240672273191,1.0,1.0,1.0,1.0
glipizide-metformin,0.0002254918541067704,0.0002254918541067704,0.0002254918541067704,0.003723039630193381,2,0.014825988611602236,1.0,1.0,1.0,16.510750000000098
tolazamide,8.455944529006665e-05,8.455944529006665e-05,8.455944529006665e-05,8.455944529006665e-05,2,0.012336385528938395,1.0,1.0,1.0,1.0
tolbutamide,0.00025367833587012595,0.0003615198150966892,0.00047426574215003736,0.0009718135182366453,2,0.013003582144231932,1.0,1.4251111111110968,1.8695555555553791,3.830888888888716
diabetesMed,0.015690681549129042,0.05709216979536613,0.07297598511753763,0.3903426348723152,2,0.4042880973697367,1.0,3.63860356330635,4.65091238319016,24.877353711507983
readmitted,0.10918095721292065,0.018819042787079354,0.7041523761204127,0.7491523761204126,2,0.31309644050296703,1.0,0.17236561454924007,6.449406509114963,6.861566295479929
gender,0.12508185354304077,0.012280568239472359,0.11891814645695925,0.20725147979029257,2,0.4984078119355605,1.0,0.09818025470214674,0.9507226115420445,1.656926835665872
rosiglitazone,0.0611082924629348,0.011647217994249939,0.665705451265573,0.761752015333446,4,0.2482674547831418,1.0,0.19059963099630958,10.893864391143905,12.46560793357933
glyburide-metformin,0.010006201025987963,0.005241445402784854,0.008339534359321296,0.007672867692654628,4,0.09990378406144228,1.0,0.5238197183098607,0.8334366197183103,0.7668112676056342
insulin,0.09758035965950725,0.0793803483849146,0.17615384181746432,0.5625803596595073,4,0.904522463563131,1.0,0.8134869420639667,1.8052182061239377,5.765303198538632
metformin,0.0681548001578443,0.028269462765657533,0.5191150008455945,0.6319361294323244,4,0.44047523912619657,1.0,0.41478315100603885,7.616704907700427,9.272070756113742
repaglinide,0.02032245335137268,0.01198912001803934,0.24664580867016184,0.32568019617791305,4,0.15002833118128261,1.0,0.5899445214979191,12.136615811373096,16.02563384188627
nateglinide,0.008258639156660521,0.0065919724899938525,0.005591972489993852,0.3256728113196911,4,0.09290467516715194,1.0,0.7981911262798645,0.6771058020477834,39.43419795221817
miglitol,0.0005637296352669444,0.0005637296352669444,0.0007279440780202188,0.000835785557246782,4,0.02534697816698723,1.0,1.0,1.2913000000000239,1.4826000000000181
glimepiride,0.06060093579119457,0.014835954676137306,0.7909824680083432,0.8072496194824961,4,0.2539417517863073,1.0,0.24481395348837168,13.052314418604645,13.320745116279062
acarbose,0.0033823778116015926,0.001382377811601591,0.002049044478268258,0.32679412593720053,4,0.05836406565317609,1.0,0.40870000000000595,0.605800000000004,96.61668333333229
glipizide,0.13206838040475788,0.01249912621906536,0.5215469868650996,0.711944021647218,4,0.3612634922417945,1.0,0.09464132278111187,3.9490677879647142,5.390722741244199
glyburide,0.09535486780540058,0.020175094424713897,0.6488732172050286,0.7286353796719093,4,0.3169960332086176,1.0,0.2115790718297367,6.804825302985513,7.641302394324559
pioglitazone,0.08362929139184849,0.020319691076159867,0.6416991938666216,0.7639123964146796,4,0.28803519051240184,1.0,0.24297337377822703,7.673139197842937,9.13450758341759
race,0.18447950842775804,0.08070483116297425,1.1411485991318564,1.3421485991318562,5,0.8116283350176304,1.0,0.43747314729309444,6.185774283861607,7.275326189723885
num_procedures,0.49829866396076444,0.14185173910592477,0.6141320254805795,0.9001860871526016,7,1.6734321717089777,1.0,0.28467212410004383,1.2324577003660915,1.8065191666327274
admission_type_id,0.06847776086588864,0.09237087772704218,0.4736893285980044,0.5200116692034499,7,1.0993305277303498,1.0,1.3489179050107583,6.917418481683547,7.593876648827274
age,0.1801937538756413,0.19176554484469244,0.30783775861097007,0.5290278482439822,10,1.5519511214512283,1.0,1.0642186020334383,1.7083708618636186,2.93588338588631
