,baseline,λ=1,λ=2,λ=5,λ=10,λ=50,nunique,real_std,baseline_ratio,λ=1_ratio,λ=2_ratio,λ=5_ratio,λ=10_ratio,λ=50_ratio
sex,0.057444444444444444,0.043333333333333314,0.044066666666666664,0.04086666666666665,0.11840000000000002,0.20922222222222223,2,0.4677105819309182,1.0,0.7543520309477753,0.7671179883945841,0.7114119922630557,2.061121856866538,3.642166344294004
fbs,0.12188888888888887,0.04622222222222224,0.04960000000000002,0.061999999999999986,0.5726,0.09188888888888887,2,0.35188004333438117,1.0,0.37921604375569756,0.40692798541476777,0.5086599817684594,4.697721057429353,0.7538742023701003
exang,0.059111111111111114,0.06755555555555552,0.0541333333333333,0.06179999999999999,0.24106666666666662,0.12533333333333338,2,0.4689693022620916,1.0,1.1428571428571421,0.9157894736842098,1.045488721804511,4.0781954887218035,2.1203007518797
num,0.012555555555555578,0.038111111111111096,0.03713333333333333,0.05199999999999999,0.22880000000000003,0.18699999999999997,2,0.49849846527465985,1.0,3.035398230088489,2.9575221238937996,4.141592920353974,18.22300884955749,14.893805309734484
restecg,0.2637777777777778,0.11877777777777777,0.14126666666666665,0.10659999999999999,0.2776666666666666,0.36233333333333334,3,0.99323745892929,1.0,0.45029486099410276,0.5355518112889637,0.4041280539174389,1.0526537489469248,1.37363100252738
slope,0.11588888888888892,0.09522222222222225,0.07473333333333332,0.09060000000000001,0.18380000000000002,0.35400000000000004,3,0.6171451736665773,1.0,0.8216682646212848,0.6448705656759345,0.781783317353787,1.5860019175455415,3.054650047938638
thal,0.40463946444186405,0.3020989649272367,0.29814175315246255,0.31078200083095603,0.9322987470725103,1.3908707514214171,3,1.9353622047234418,1.0,0.7465879912230862,0.7368083920427826,0.7680466888211966,2.3040232824508813,3.4373086998320903
cp,0.19722222222222227,0.15722222222222224,0.17133333333333334,0.18053333333333335,0.40173333333333333,1.5051111111111108,4,0.9632336979027394,1.0,0.7971830985915491,0.868732394366197,0.9153802816901407,2.0369577464788726,7.6315492957746445
ca,0.2757793274445518,0.1878906245963279,0.20470203712401683,0.2002164999301878,0.22363873488715993,0.40049909372478315,4,0.9373824451006205,1.0,0.6813078642890853,0.7422675188196411,0.7260025680149769,0.8109336437921538,1.452244798172218
oldpeak,0.1347903547319638,0.22085719535193626,0.25863390155412525,0.24819724798417525,0.5726780631805723,1.4897897654040986,40,1.1641579568929132,1.0,1.6385237340692511,1.918786415158781,1.8413576288728208,4.2486575862150255,11.052643702634414
age,2.018555555555556,1.8696666666666666,2.0034,2.0626666666666664,2.8240666666666665,20.557000000000002,41,9.034487589926636,1.0,0.9262398855066878,0.9924918808829195,1.0218528100401825,1.3990532283811303,10.184014972202345
trestbps,5.2796666666666665,3.4455555555555555,3.2534666666666667,4.352799999999999,8.058466666666666,58.72977777777778,50,17.73287743823472,1.0,0.6526085401014374,0.6162257718290296,0.8244459877517519,1.5263211061304374,11.123766231033104
thalach,3.7042222222222225,2.8686666666666674,3.3019333333333334,3.6294666666666666,4.963866666666666,61.65211111111111,91,22.90290733792757,1.0,0.7744315795788591,0.8913972043913851,0.9798188253644489,1.340056392105105,16.6437398764173
chol,6.3340000000000005,7.531555555555556,9.326800000000002,9.126000000000001,14.803133333333335,280.4891111111111,152,51.909970707892114,1.0,1.1890678174227274,1.4724976318282288,1.440795705715188,2.337090832543943,44.28309300775356
