lambda_mmd,lambda_corr,lambda_priv,dcr_margin,label,n_seeds,f1_discrepancy_mean,f1_discrepancy_std,f1_discrepancy_ci95,mmd_mean,mmd_std,mmd_ci95,mean_emd_mean,mean_emd_std,mean_emd_ci95,correlation_distance_mean,correlation_distance_std,correlation_distance_ci95,dcr_mean_mean,dcr_mean_std,dcr_mean_ci95,dcr_5th_percentile_mean,dcr_5th_percentile_std,dcr_5th_percentile_ci95,nndr_mean_mean,nndr_mean_std,nndr_mean_ci95,disclosure_rate_mean,disclosure_rate_std,disclosure_rate_ci95
0.0,0.0,0.0,1.0,baseline,3,-0.027631997976175104,0.03488746167243372,0.08666525920773685,0.019329190943256414,0.00014219868553077,0.0003532411172883118,1.3556816057108367,0.17837662510589622,0.44311210132030754,2.660559522327586,0.222371011521699,0.5524002157211196,1.7157256185334473,0.051049031079221194,0.12681282325220802,0.7417332799181118,0.06980534382215751,0.17340608707031943,0.8294500759970699,0.007540090611056385,0.018730623436939757,0.010333333333333333,0.005859465277082316,0.014555718665491777
1.0,0.5,0.0,1.0,utility only,3,-0.005561009822881362,0.02550211465131875,0.06335076473472152,0.01781108771567404,0.00023774185693934452,0.0005905835124845777,1.2482887066838553,0.21568774922318978,0.5357980718078738,1.9151403216072265,0.29951399450754346,0.74403400895317,2.024103027297684,0.039529618120825796,0.09819701510503258,1.0119185168433809,0.02175562971886227,0.054043980227501995,0.8499043750359342,0.004586440381848362,0.0113933495152441,0.004,0.002,0.00496827542350066
0.0,0.0,1.0,0.5,priv only  λ=1  μ=0.5,3,0.005541913144252304,0.04820928312322385,0.11975849826284911,0.019521274178256175,0.0005470358769968665,0.001358912451728331,1.4107533362733051,0.26125069033185294,0.6489826920741633,2.494223447611729,0.2865097671637431,0.7117297173962607,1.7413244958692993,0.03258026163082301,0.08093385657581975,0.7769801519546516,0.04611146938777399,0.11454724005039028,0.843388165125607,0.010801037250769462,0.026831263960656528,0.011000000000000001,0.0036055512754639887,0.008956685895029596
1.0,0.5,1.0,0.5,λ=1  μ=0.5,3,0.005767424989792473,0.04155140978621244,0.10321942402632205,0.017800608220024956,9.903482585774245e-05,0.00024601614568984473,1.3632482517941007,0.20774467188212342,0.5160663738375812,1.9602033767697622,0.325255806971231,0.807980216063021,1.9837980416854188,0.030360893955334027,0.0754206416368979,0.9767847800644299,0.021739800812269117,0.054004659043698174,0.8516164462680847,0.0007615183232873708,0.0018917163850670376,0.0036666666666666666,0.0037859388972001826,0.009404793588917429
0.0,0.0,1.0,1.0,priv only  λ=1  μ=1,4,-0.00424805826271038,0.025130243275528028,0.03998782493154246,0.01907415991902818,0.0002159669417361873,0.00034365159789587554,1.374170891702219,0.21289834042885683,0.3387687684494242,2.365724478568423,0.11569631775722782,0.18409865949070975,1.758321076231797,0.03967787087802755,0.0631363467886514,0.8005963044513423,0.025665345356956668,0.04083929175253856,0.8436060951547891,0.007314584306334529,0.011639135900190258,0.009,0.002943920288775949,0.004684434123032382
1.0,0.5,1.0,1.0,λ=1  μ=1,3,-0.03331202424056242,0.0002969206777631369,0.000737591853029876,0.01784254046275845,0.00019017925370976634,0.0004724314561329644,1.2158297231181008,0.08335904608001835,0.2070753499829071,1.9400873248960515,0.35682108846677335,0.8863927222081124,2.023776013760818,0.003208947597102409,0.007971467740992699,0.9805040147807267,0.034244124295364324,0.08506712056798021,0.8512468034642807,0.0011246304841658413,0.002793736997500399,0.004333333333333334,0.0015275252316519468,0.00379458303359676
0.0,0.0,1.0,1.5,priv only  λ=1  μ=1.5,3,-0.022334425375361084,0.041793013832682586,0.10381960174947001,0.01900209456305239,0.0005758053731645625,0.001430379842106561,1.3727390679551157,0.23672095575361485,0.5880474533491359,2.319845268269215,0.22045406068454654,0.5476382458549779,1.7665007022635246,0.022160810831067197,0.0550505059084192,0.8269243252118077,0.032286390952201864,0.08020384134067929,0.8423824841577806,0.0027501096549421146,0.006831651105290394,0.007333333333333333,0.0011547005383792516,0.002868435153166308
1.0,0.5,1.0,1.5,λ=1  μ=1.5,3,-0.016651924802128442,0.028842274641369972,0.07164818212928738,0.01786105615748115,0.0002332579298814381,0.0005794448201832947,1.2137668338403138,0.028502776910732924,0.07080482301355823,1.917707278391056,0.39587644241440983,0.9834115997951934,2.041637369265312,0.010161788743673805,0.025243282637000108,1.0413107962658623,0.03507894054927831,0.0871409191067101,0.8549095724945216,0.002882621938191147,0.007160829865379457,0.0023333333333333335,0.002081665999466133,0.0051711450125422635
1.0,0.5,2.0,1.5,λ=2  μ=1.5,5,-0.013559821740584921,0.06663085719820598,0.08273313655246849,0.017921933045477158,0.0003000519179877803,0.0003725636641574152,1.3728103113212335,0.3154459532468697,0.39167788352570587,1.9983679135493055,0.1544184395529172,0.19173581705166146,2.056273896946162,0.03696095234715902,0.04589308386879227,0.9811654369179774,0.04266256273879108,0.052972568223866257,0.851932350947866,0.006766150480936352,0.008401285458607752,0.003,0.0015811388300841897,0.001963243161477557
1.0,0.5,5.0,1.5,λ=5  μ=1.5,5,-0.016499692468951332,0.042839288454929576,0.05319200218315221,0.017941402799635006,0.00022185450758577518,0.0002754687549084809,1.4660377915770468,0.4701655235543263,0.5837876037940308,2.122522784820812,0.2515960458734892,0.3123977522515342,2.133719843842907,0.0537714330478058,0.06676605254728456,1.0786912160292845,0.03484959757516843,0.04327149066097583,0.8535053484860242,0.0046174093575995475,0.005733270964300528,0.0028,0.0008366600265340755,0.0010388506336835677
